Designator,Mid X,Mid Y,Rotation,Layer
U17,135.47,-76.34,90.0,bottom
U2,140.375,-123.8,90.0,top
U3,144.78,-67.9,270.0,top
U4,207.21,-46.685,0.0,top
U5,140.45,-132.075,0.0,top
U6,207.21,-49.18,0.0,top
U7,135.505,-76.11,270.0,top
U9,137.97,-67.65,0.0,bottom
Y2,143.275,-70.65,270.0,bottom
Y3,135.75,-81.9,180.0,top
